Timestamp,Full Score,Full Pass?,Empty Score,Empty Pass?
Mon Aug  1 11_57_38 2022,0.0,True,67.0,True
Mon Aug  1 11_57_49 2022,0.0,True,0.0,True
Mon Aug  1 11_57_54 2022,0.0,True,0.0,True
Mon Aug  1 11_57_55 2022,0.0,True,0.0,True
Mon Aug  1 11_57_57 2022,0.0,True,0.0,True
Mon Aug  1 13_12_01 2022,0.0,True,0.0,True
Mon Aug  1 13_12_01 2022,0.0,True,0.0,True
Mon Aug  1 13_12_42 2022,0.0,True,0.0,True
Mon Aug  1 13_14_11 2022,0.0,True,0.0,True
Mon Aug  1 13_16_28 2022,63.0,True,20.0,True
Mon Aug  1 13_17_44 2022,111.0,True,69.0,True
Mon Aug  1 13_18_21 2022,344.0,False,201.0,False
Mon Aug  1 13_19_07 2022,310.0,False,209.0,False
Mon Aug  1 13_21_35 2022,310.0,False,209.0,False
Mon Aug  1 13_21_53 2022,185.0,False,113.0,False
Mon Aug  1 13_22_16 2022,235.0,False,147.0,False
Mon Aug  1 13_23_15 2022,0.0,True,0.0,True
Mon Aug  1 13_25_30 2022,275.0,False,147.0,False
Mon Aug  1 13_32_35 2022,0.0,True,0.0,True
Mon Aug  1 13_33_08 2022,20918.0,False,20886.0,False
Mon Aug  1 13_33_13 2022,0.0,True,0.0,True
Tue Aug  2 08_23_32 2022,275.0,False,147.0,False
Tue Aug  2 09_55_06 2022,275.0,False,147.0,False
Tue Aug  2 09_58_00 2022,275.0,False,147.0,False
Tue Aug  2 09_58_55 2022,275.0,False,147.0,False
Tue Aug  2 10_40_12 2022,230.0,False,113.0,False
Tue Aug  2 11_04_49 2022,230.0,False,113.0,False
Tue Aug  2 11_42_54 2022,0.0,True,0.0,True
Wed Aug  3 09_02_14 2022,0.0,True,0.0,True
Wed Aug  3 09_03_58 2022,169.0,False,107.0,False
Wed Aug  3 09_04_24 2022,136.0,False,69.0,True
Wed Aug  3 09_22_44 2022,203.0,False,0.0,True
Wed Aug  3 09_23_27 2022,None,None,449.0,False
Wed Aug  3 09_33_15 2022,185.0,False,98.0,True
Wed Aug  3 09_33_15 2022,185.0,False,0.0,True
Wed Aug  3 09_33_15 2022,185.0,False,0.0,True
Wed Aug  3 09_33_15 2022,185.0,False,0.0,True
Wed Aug  3 09_33_15 2022,185.0,False,0.0,True
Wed Aug  3 09_33_15 2022,185.0,False,0.0,True
Wed Aug  3 09_33_15 2022,185.0,False,0.0,True
Wed Aug  3 09_38_10 2022,185.0,False,0.0,True
Wed Aug  3 09_38_12 2022,185.0,False,0.0,True
Wed Aug  3 09_38_19 2022,185.0,False,0.0,True
Wed Aug  3 09_38_22 2022,185.0,False,0.0,True
Wed Aug  3 09_38_24 2022,185.0,False,0.0,True
Wed Aug  3 09_44_06 2022,185.0,False,0.0,True
Wed Aug  3 09_44_08 2022,185.0,False,0.0,True
Wed Aug  3 11_07_59 2022,98.0,False,0.0,True
Wed Aug  3 11_08_37 2022,144.0,False,47.0,True
Wed Aug  3 11_09_15 2022,179.0,False,0.0,True
Wed Aug  3 11_09_38 2022,179.0,False,74.0,True
Wed Aug  3 11_19_23 2022,216.0,False,0.0,True
Wed Aug  3 11_20_01 2022,216.0,False,101.0,False
Wed Aug  3 11_21_08 2022,2970.0,False,3021.0,False
Wed Aug  3 11_31_40 2022,216.0,False,101.0,False
Wed Aug  3 14_46_09 2022,0.0,True,1.01,0.0,True,1.005
Wed Aug  3 14_46_35 2022,0.0,True,1.26,0.0,True,1.26
Wed Aug  3 14_46_42 2022,0.0,True,1.222,0.0,True,1.224
Wed Aug  3 14_47_01 2022,0.0,True,1.176,0.0,True,1.177
Wed Aug  3 14_47_42 2022,0.0,True,1.188,0.0,True,1.189
Wed Aug  3 14_48_09 2022,0.0,True,1.175,0.0,True,1.176
Wed Aug  3 14_48_48 2022,918.0,False,1.17,910.0,False,1.171
Wed Aug  3 14_48_54 2022,0.0,True,1.16,0.0,True,1.161
Wed Aug  3 14_49_25 2022,7247.0,False,1.621,6702.0,False,1.619
Wed Aug  3 14_49_34 2022,0.0,True,1.235,0.0,True,1.234
Wed Aug  3 14_49_42 2022,0.0,True,1.22,0.0,True,1.219
Wed Aug  3 14_49_52 2022,6511.0,False,1.726,6286.0,False,1.755
Wed Aug  3 14_53_26 2022,215.0,False,1.024,145.0,False,1.135
Wed Aug  3 15_01_14 2022,215,False,1.024,145,False,1.135
Wed Aug  3 15_05_55 2022,215,False,1.024,145,False,1.135
Thu Aug  4 08_37_54 2022,237.0,False,1.222,261.0,False,1.27
Thu Aug  4 09_05_52 2022,0,True,1.002,0,True,1.0
